City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Uvat,RU,59.1433,68.8953,3.4,65,100,4.9,overcast clouds
181,Kattivakkam,IN,13.2167,80.3167,29.05,71,98,2.43,overcast clouds
182,Comodoro Rivadavia,AR,-45.8667,-67.5,10.92,62,0,8.75,clear sky
183,Khomeyn,IR,33.6423,50.0789,16.71,46,16,1.06,few clouds
184,Grindavik,IS,63.8424,-22.4338,10.26,100,100,9.26,overcast clouds
185,Presidente Epitacio,BR,-21.7633,-52.1156,26.22,68,91,2.72,overcast clouds
186,Oron,NG,4.8256,8.2343,23.51,93,70,1.49,broken clouds
187,Jalu,LY,29.0331,21.5482,28.94,41,0,8.72,clear sky
188,Port-Gentil,GA,-0.7193,8.7815,25.98,89,40,4.12,scattered clouds
189,Valparaiso,CL,-33.0393,-71.6273,14.44,91,100,4.12,mist
190,Lere,NG,10.387,8.5726,20.89,93,69,1.98,light rain
191,Hazorasp,UZ,41.3194,61.0742,4.91,25,24,4.25,few clouds
192,Galbshtadt,RU,53.2264,78.9845,0.15,75,7,2.99,clear sky
193,Oeiras Do Para,BR,-2.0031,-49.8544,30.76,50,100,1.93,overcast clouds
194,Zuwarah,LY,32.9312,12.082,23.35,64,0,2.02,clear sky
195,Longyearbyen,SJ,78.2186,15.6401,2.91,87,75,0.51,broken clouds
196,Sao Caetano De Odivelas,BR,-0.75,-48.02,26.51,78,94,4.1,moderate rain
197,Lucenec,SK,48.3325,19.6671,11.66,89,100,3.15,overcast clouds
198,Ypsilanti,US,42.2412,-83.613,19.23,44,0,0.45,clear sky
199,Neath,GB,51.6632,-3.8044,12.01,81,81,1.34,broken clouds
200,Goderich,CA,43.7501,-81.7165,16.18,33,0,4.12,clear sky
201,Lozuvatka,UA,48.0571,33.2858,11.96,75,73,7.77,broken clouds
202,Krasnyy Kut,RU,50.95,46.9667,19.17,51,99,7.77,overcast clouds
203,Zavodouspenskoye,RU,56.8626,65.0155,6.12,51,100,4.77,overcast clouds
204,Tarrafal,CV,15.2833,-23.7667,26.44,71,47,5.19,scattered clouds
205,Sinnamary,GF,5.3833,-52.95,27.63,80,96,4.41,overcast clouds
206,Belmonte,BR,-15.8631,-38.8828,24.46,85,26,2.28,scattered clouds
207,Quatre Cocos,MU,-20.2078,57.7625,21.72,75,38,6.13,scattered clouds
208,Riyadh,SA,24.6877,46.7219,26.08,12,0,3.81,clear sky
209,Masunga,BW,-20.6246,27.4488,22.37,20,0,5.48,clear sky
210,San Rafael,AR,-34.6177,-68.3301,27.73,19,10,10.38,clear sky
211,Muzaffargarh,PK,30.0754,71.1921,27.01,36,0,3.1,clear sky
212,Cayce,US,33.9657,-81.074,23.53,56,75,2.57,broken clouds
213,Brokopondo,SR,4.75,-55.1667,30.37,56,100,2.27,light rain
214,Requena,ES,39.4883,-1.1004,15.44,45,52,1.5,broken clouds
215,Plettenberg Bay,ZA,-34.0527,23.3716,17.15,63,0,4.63,clear sky
216,Loandjili,CG,-4.7561,11.8578,24.75,85,98,2.03,overcast clouds
217,Bonthe,SL,7.5264,-12.505,24.58,91,100,3.55,moderate rain
218,Chicama,PE,-7.8447,-79.1469,16.3,64,18,4.47,few clouds
219,Mwense,ZM,-10.3845,28.698,24.63,21,0,2.66,clear sky
220,Point Pedro,LK,9.8167,80.2333,27.49,75,99,4.24,overcast clouds
221,Sorland,NO,67.667,12.6934,10.92,86,100,5.82,overcast clouds
222,Saint-Ambroise,CA,48.5501,-71.3324,11.3,40,1,3.09,clear sky
223,Ust-Tsilma,RU,65.441,52.1498,5.36,99,100,1.69,light rain
224,Bubaque,GW,11.2833,-15.8333,27.42,77,76,4.01,broken clouds
225,Hukuntsi,BW,-24.0,21.75,25.04,18,0,5.18,clear sky
226,Hindoria,IN,23.9,79.5667,22.6,76,33,1.69,scattered clouds
227,Ilulissat,GL,69.2167,-51.1,1.01,80,75,0.51,broken clouds
228,Bandarbeyla,SO,9.4942,50.8122,25.34,79,100,9.88,overcast clouds
229,Husavik,IS,66.0449,-17.3389,6.07,89,71,4.78,broken clouds
230,Betsiamites,CA,48.9413,-68.646,9.22,47,4,2.18,clear sky
231,Soyo,AO,-6.1349,12.3689,24.45,85,100,4.05,overcast clouds
232,Beaver Dam,US,43.4578,-88.8373,19.86,66,40,1.34,scattered clouds
233,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,29.98,32,72,4.18,broken clouds
234,Klaksvik,FO,62.2266,-6.589,10.51,78,32,10.3,scattered clouds
235,Chiman,PK,32.5463,73.8138,24.63,57,0,1.74,clear sky
236,Takoradi,GH,4.8845,-1.7554,24.17,89,21,2.4,few clouds
237,Puerto Carreno,CO,6.189,-67.4859,28.99,70,40,2.06,scattered clouds
238,Saint-Pierre,RE,-21.3393,55.4781,19.05,72,0,1.03,clear sky
239,Luderitz,NA,-26.6481,15.1594,15.52,72,0,6.27,clear sky
240,Kentau,KZ,43.5206,68.5094,9.48,26,43,5.1,scattered clouds
241,Termoli,IT,41.9888,14.9895,18.77,71,14,1.37,few clouds
242,Ancud,CL,-41.8697,-73.8203,12.63,68,100,3.18,overcast clouds
243,Jaciara,BR,-15.9653,-54.9683,27.02,61,96,1.99,overcast clouds
244,Salreu,PT,40.7397,-8.5572,20.29,67,0,1.97,clear sky
245,Sebeta,ET,8.9167,38.6167,13.63,85,91,0.41,light rain
246,Khandbari,NP,27.3747,87.2039,20.09,76,76,1.68,broken clouds
247,Bjornevatn,NO,69.6672,29.9847,5.79,100,75,3.6,broken clouds
248,Kruisfontein,ZA,-34.0033,24.7314,16.05,85,0,4.05,clear sky
249,Skelleftea,SE,64.7507,20.9528,8.2,100,0,2.06,clear sky
250,Pudozh,RU,61.8099,36.5345,6.14,78,100,2.23,overcast clouds
251,Kangasala,FI,61.4638,24.076,6.29,100,92,1.39,overcast clouds
252,Hansi,IN,29.1,75.9667,26.66,43,0,1.45,clear sky
253,Kohlu,PK,29.8962,69.252,22.64,42,0,1.27,clear sky
254,Agliana,IT,43.9066,11.0062,20.17,88,75,1.54,broken clouds
255,Marystown,CA,47.1666,-55.1483,9.84,50,100,5.72,overcast clouds
256,Maragogi,BR,-9.0122,-35.2225,23.97,79,42,4.47,scattered clouds
257,Hualmay,PE,-11.0964,-77.6139,18.93,74,53,4.11,broken clouds
258,Carballo,ES,43.213,-8.691,17.78,97,99,0.46,overcast clouds
259,Boa Vista,BR,2.8197,-60.6733,22.99,88,40,5.66,scattered clouds
260,Saint-Augustin,CA,51.226,-58.6502,7.24,46,97,5.72,overcast clouds
261,Peniche,PT,39.3558,-9.3811,21.83,63,2,6.3,clear sky
262,Shemonaikha,KZ,50.6328,81.9056,-1.08,77,0,1.26,clear sky
263,Farah,AF,32.5,62.5,17.0,24,0,1.47,clear sky
264,Olinda,BR,-8.0089,-34.8553,24.85,78,75,1.03,broken clouds
265,Campestre,BR,-21.7111,-46.2464,21.17,63,0,3.73,clear sky
266,Salalah,OM,17.0151,54.0924,27.05,83,75,4.63,broken clouds
267,Umm Kaddadah,SD,13.6017,26.6876,32.47,33,81,2.76,light rain
268,Vadso,NO,70.0744,29.7487,6.09,81,75,1.54,broken clouds
269,Sur,OM,22.5667,59.5289,26.93,78,3,5.78,clear sky
270,Lappeenranta,FI,61.0587,28.1887,4.19,100,91,1.03,fog
271,Olafsvik,IS,64.8945,-23.7142,7.75,91,100,8.98,overcast clouds
272,Hamilton,US,39.1834,-84.5333,21.91,55,20,8.23,few clouds
273,Moultrie,US,31.1799,-83.7891,29.9,39,0,4.12,clear sky
274,Muros,ES,42.7762,-9.0603,18.38,77,98,3.84,overcast clouds
275,Yarmouth,US,41.7057,-70.2286,13.31,75,100,8.75,overcast clouds
276,Porto Torres,IT,40.835,8.3972,21.1,82,21,5.23,few clouds
277,Linden,GY,6.0,-58.3,26.78,76,98,0.98,overcast clouds
278,Naryan-Mar,RU,67.6713,53.087,4.73,91,100,1.15,overcast clouds
279,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,24.68,47,90,0.29,overcast clouds
280,Guanica,PR,17.9716,-66.908,30.59,75,94,3.77,overcast clouds
281,Santa Maria,BR,-29.6842,-53.8069,20.61,52,40,3.6,scattered clouds
282,Tandil,AR,-37.3217,-59.1332,14.82,32,48,5.73,scattered clouds
283,Pasni,PK,25.2631,63.471,26.28,85,0,3.24,clear sky
284,Ghanzi,BW,-21.5667,21.7833,23.23,15,0,4.26,clear sky
285,Kidal,ML,18.4411,1.4078,35.25,20,28,1.14,scattered clouds
286,Chibombo,ZM,-14.6569,28.0706,20.85,30,0,2.7,clear sky
287,Stornoway,GB,58.2093,-6.3865,12.98,89,100,6.17,overcast clouds
288,Hilton Head Island,US,32.2163,-80.7526,23.03,70,100,3.09,overcast clouds
289,Alta Floresta,BR,-9.8756,-56.0861,35.72,24,97,0.87,overcast clouds
290,Chimbote,PE,-9.0853,-78.5783,18.73,76,13,4.8,few clouds
291,Itarema,BR,-2.9248,-39.9167,25.52,81,8,7.83,clear sky
292,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,24.93,94,90,0.95,overcast clouds
293,Tucupita,VE,9.0622,-62.051,29.0,71,100,2.72,overcast clouds
294,San Roque,ES,36.2107,-5.3842,20.46,68,75,5.14,broken clouds
295,Donskoy,RU,53.9711,38.3363,16.01,94,100,6.9,light rain
296,General Roca,AR,-39.0333,-67.5833,24.79,23,99,10.07,overcast clouds
297,Gayny,RU,60.3071,54.3241,9.41,94,100,4.63,light rain
298,Narayanpet,IN,16.7333,77.5,23.81,77,35,3.91,scattered clouds
299,Barga,IT,44.0742,10.4808,17.21,96,62,0.6,broken clouds
300,Veraval,IN,20.9,70.3667,26.2,79,17,3.86,few clouds
301,Puerto Leguizamo,CO,-0.1934,-74.7819,28.56,65,100,0.98,overcast clouds
