City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Nampula,MZ,2022-10-02 00:50:57,-15.1165,39.2666,292.12,94,0,3.13
213,Fairhope,US,2022-10-02 00:50:57,30.523,-87.9033,297.01,47,0,2.68
214,Rocha,UY,2022-10-02 00:50:57,-34.4833,-54.3333,283.14,90,100,0.81
215,Ozorkow,PL,2022-10-02 00:50:58,51.9634,19.2914,284.24,94,58,4.89
216,Dharchula,IN,2022-10-02 00:50:58,29.85,80.5333,290.87,78,11,2.42
217,Sembe,CG,2022-10-02 00:50:58,1.6481,14.5806,294.3,98,100,1.12
218,Scarborough,GB,2022-10-02 00:50:59,54.2797,-0.4044,284.91,87,3,1.34
219,Raichur,IN,2022-10-02 00:50:59,16.2,77.3667,295.75,86,92,3.57
220,Riberalta,BO,2022-10-02 00:52:00,-10.9833,-66.1,299.22,53,13,1.27
221,Ciudad Bolivar,VE,2022-10-02 00:52:00,8.1222,-63.5497,300.31,69,47,3.62
222,Jardim,BR,2022-10-02 00:52:00,-21.4803,-56.1381,294.15,86,0,1.56
223,Salisbury,GB,2022-10-02 00:52:01,51.0693,-1.7957,288.13,89,75,5.14
224,Rumuruti,KE,2022-10-02 00:52:01,0.267,36.5389,286.84,89,8,2.86
225,Dingle,PH,2022-10-02 00:52:02,10.9995,122.6711,301.97,76,100,3.45
226,Brighton,GB,2022-10-02 00:49:49,50.8284,-0.1395,288.67,88,100,0.89
227,Chinsali,ZM,2022-10-02 00:52:03,-10.5414,32.0816,289.38,63,1,2.03
228,Bregenz,AT,2022-10-02 00:52:03,47.5031,9.7471,288.36,71,75,1.54
229,Nalut,LY,2022-10-02 00:52:03,30.3333,10.85,296.27,77,4,9.71
230,Goma,CD,2022-10-02 00:52:04,-1.6792,29.2228,290.89,84,100,1.12
231,Pital,CO,2022-10-02 00:52:04,2.2665,-75.8044,291.34,89,23,1.77
232,Bonavista,CA,2022-10-02 00:52:05,48.6499,-53.1147,284.12,79,100,6.86
233,Vardo,NO,2022-10-02 00:52:05,70.3705,31.1107,277.6,71,100,1.91
234,Shalakusha,RU,2022-10-02 00:52:05,62.2247,40.2539,279.22,89,100,1.3
235,San Ignacio,BZ,2022-10-02 00:50:19,17.1561,-89.0714,299.23,83,0,2.06
236,Zaozerne,UA,2022-10-02 00:52:06,45.1582,33.2787,293.66,78,23,7.34
237,Nkhotakota,MW,2022-10-02 00:52:06,-12.9274,34.2961,294.43,51,93,1.11
238,Lydenburg,ZA,2022-10-02 00:52:07,-25.0978,30.4597,290.59,55,3,1.18
239,Marsa Matruh,EG,2022-10-02 00:52:07,31.3525,27.2453,298.26,78,0,3.09
240,Gunjur,GM,2022-10-02 00:52:07,13.2019,-16.7339,296.19,94,75,2.57
241,Inyonga,TZ,2022-10-02 00:52:08,-6.7167,32.0667,294.23,56,64,3.58
242,Sainte-Thecle,CA,2022-10-02 00:52:08,46.8168,-72.4991,282.18,58,98,5.57
243,Matara,LK,2022-10-02 00:52:08,5.9485,80.5353,298.87,85,99,6.27
244,Qaqortoq,GL,2022-10-02 00:52:09,60.7167,-46.0333,277.01,81,100,2.27
245,Gurupi,BR,2022-10-02 00:52:09,-11.7292,-49.0686,305.24,27,95,0.66
246,Sawakin,SD,2022-10-02 00:52:10,19.1059,37.3321,301.77,57,2,1.72
247,Hit,IQ,2022-10-02 00:52:10,33.6416,42.8251,299.16,19,0,4.11
248,Pitimbu,BR,2022-10-02 00:52:10,-7.4706,-34.8086,297.48,78,14,5.32
249,Edd,ER,2022-10-02 00:52:11,13.9297,41.6925,304.51,62,8,0.83
250,Torbay,CA,2022-10-02 00:52:11,47.6666,-52.7314,286.25,88,75,8.23
251,Hofn,IS,2022-10-02 00:52:11,64.2539,-15.2082,281.28,90,100,2.7
252,Los Llanos De Aridane,ES,2022-10-02 00:52:12,28.6585,-17.9182,293.01,81,100,4.12
253,Villamontes,BO,2022-10-02 00:52:12,-21.25,-63.5,296.73,48,99,1.29
254,Sur,OM,2022-10-02 00:52:13,22.5667,59.5289,300.69,73,0,3.76
255,Havre-Saint-Pierre,CA,2022-10-02 00:52:13,50.2334,-63.5986,280.15,65,20,2.57
256,Fevik,NO,2022-10-02 00:52:14,58.3794,8.6766,283.02,88,75,2.99
257,Salta,AR,2022-10-02 00:52:14,-24.7859,-65.4117,291.48,48,0,1.03
258,Ikungi,TZ,2022-10-02 00:52:15,-5.1333,34.7667,288.53,79,51,4.74
259,Srisailam,IN,2022-10-02 00:52:15,16.0833,78.8667,294.12,94,93,2.59
260,Zapolyarnyy,RU,2022-10-02 00:52:15,69.4154,30.8136,275.75,99,99,1.61
261,Ambilobe,MG,2022-10-02 00:52:16,-13.2,49.05,290.08,83,0,2.08
262,Laela,TZ,2022-10-02 00:52:16,-8.5667,32.05,289.42,67,5,0.24
263,San Cristobal,VE,2022-10-02 00:52:17,7.7669,-72.225,295.25,93,43,1.34
264,Carutapera,BR,2022-10-02 00:52:17,-1.195,-46.02,298.44,83,44,2.87
265,Ladario,BR,2022-10-02 00:52:17,-19.0047,-57.6017,297.39,65,97,1.57
266,Deulgaon Raja,IN,2022-10-02 00:53:18,20.0167,76.0333,294.58,85,81,4.2
267,Bonthe,SL,2022-10-02 00:48:46,7.5264,-12.505,297.7,88,100,3.78
268,Clarksville,US,2022-10-02 00:50:14,36.5298,-87.3595,293.29,43,0,4.12
269,Tandil,AR,2022-10-02 00:51:35,-37.3217,-59.1332,284.64,62,73,2.03
270,Listvyanskiy,RU,2022-10-02 00:53:19,54.4399,83.4984,269.05,97,37,1.45
271,Iskateley,RU,2022-10-02 00:53:19,67.6803,53.1512,276.48,97,100,4.74
272,Tchollire,CM,2022-10-02 00:53:19,8.4022,14.1698,293.45,98,100,1.48
273,Aswan,EG,2022-10-02 00:53:20,24.0934,32.907,303.76,17,0,2.06
274,Pachino,IT,2022-10-02 00:53:20,36.7186,15.0907,294.95,56,8,3.28
275,Stornoway,GB,2022-10-02 00:53:20,58.2093,-6.3865,283.17,91,75,5.14
